id,user_id,plat,date_interaction
1,0,Couscous,2024-12-31 13:30:53.330677
2,0,Lasagne,2024-12-31 13:30:53.345950
3,0,Poulet,2024-12-31 13:30:53.853423
4,0,Rfissa,2024-12-31 13:30:53.864126
5,0,Pizza,2024-12-31 13:30:53.875558
6,0,Salade marocaine,2024-12-31 13:30:53.954550
7,0,Tajine,2024-12-31 15:56:58.038580
8,0,Ndole,2024-12-31 16:02:07.719112
9,0,Dumplings,2024-12-31 16:40:32.620351
10,0,Poulet,2024-12-31 17:20:22.840455
11,0,Fèves,2024-12-31 17:23:12.113701
12,0,Choucroute,2024-12-31 17:27:09.062756
13,0,knacki,2024-12-31 17:27:36.595847
14,1,knacki,2024-12-31 17:30:32.520542
15,1,Ndole,2024-12-31 17:35:19.432074
16,1,Poulet,2024-12-31 17:35:36.087118
17,1,Lasagne,2024-12-31 17:40:24.138406
18,1,Pastilla,2024-12-31 18:10:49.627279
19,1,Pavé de saumon,2024-12-31 19:44:29.264807
20,1,Purée,2024-12-31 19:45:40.033954
21,1,Steak,2024-12-31 20:09:14.613773
22,1,Tanjia,2024-12-31 20:13:45.519992
23,1,Viande haché,2024-12-31 20:17:19.254142
24,1,Viande haché,2024-12-31 20:37:22.420915
